ID,Error Code,Dropping Site,Type,Validity,Origin Site,Present in MPICH?,
27,*MPI_ERR_OTHER,adio/common/cb_config_list.c:96,Unsaved,VALID,src/mpi/info/infoutil.c:61,Yes,
28,*MPI_ERR_OTHER,adio/common/ad_hints.c:196,Unsaved,VALID,src/mpi/info/infoutil.c:61,Yes,
29,*MPI_ERR_OTHER,adio/common/ad_hints.c:258,Unsaved,VALID,src/mpi/info/infoutil.c:61,Yes,
30,*MPI_ERR_OTHER,adio/common/ad_hints.c:101,Unsaved,VALID,src/mpi/info/infoutil.c:61,Yes,
31,*MPI_ERR_OTHER,adio/common/hint_fns.c:128,Unsaved,VALID,src/mpi/info/infoutil.c:61,Yes,
32,*MPI_ERR_OTHER,adio/common/ad_hints.c:195,Unsaved,VALID,src/mpi/info/infoutil.c:61,Yes,
33,*MPI_ERR_OTHER,adio/common/ad_hints.c:164,Unsaved,VALID,src/mpi/info/infoutil.c:61,Yes,
34,*MPI_ERR_OTHER,adio/common/ad_hints.c:112,Unsaved,VALID,src/mpi/info/infoutil.c:61,Yes,
35,*MPI_ERR_OTHER,adio/common/hint_fns.c:45,Unsaved,VALID,src/mpi/info/infoutil.c:61,Yes,
36,*MPI_ERR_OTHER,adio/common/hint_fns.c:78,Unsaved,VALID,src/mpi/info/infoutil.c:61,Yes,
37,*MPI_ERR_OTHER,adio/common/ad_hints.c:120,Unsaved,VALID,src/mpi/info/infoutil.c:61,Yes,
38,*MPI_ERR_OTHER,adio/common/ad_hints.c:219,Unsaved,VALID,src/mpi/info/infoutil.c:61,Yes,
39,*MPI_ERR_OTHER,adio/common/ad_hints.c:108,Unsaved,VALID,src/mpi/info/infoutil.c:61,Yes,
40,*MPI_ERR_OTHER,adio/common/cb_config_list.c:108,Unsaved,VALID,src/mpi/info/infoutil.c:61,,
41,*MPI_ERR_OTHER,adio/common/ad_aggregate_new.c:205,Unsaved,VALID,src/mpi/info/infoutil.c:61,,
42,*MPI_ERR_OTHER,adio/common/ad_hints.c:303,Unsaved,VALID,src/mpi/info/infoutil.c:61,Yes,
43,*MPI_ERR_OTHER,adio/common/ad_hints.c:92,Unsaved,VALID,src/mpi/info/infoutil.c:61,Yes,
44,*MPI_ERR_OTHER,adio/common/hint_fns.c:124,Unsaved,VALID,src/mpi/info/infoutil.c:61,Yes,
45,*MPI_ERR_OTHER,adio/common/ad_hints.c:84,Unsaved,VALID,src/mpi/info/infoutil.c:61,Yes,
46,*MPI_ERR_OTHER,adio/common/system_hints.c:133,Unsaved,VALID,src/mpi/info/infoutil.c:61,,
47,*MPI_ERR_OTHER,adio/common/ad_hints.c:97,Unsaved,VALID,src/mpi/info/infoutil.c:61,Yes,
48,*MPI_ERR_OTHER,adio/common/ad_hints.c:80,Unsaved,VALID,src/mpi/info/infoutil.c:61,Yes,
49,*MPI_ERR_OTHER,adio/common/ad_hints.c:118,Unsaved,VALID,src/mpi/info/infoutil.c:61,Yes,
50,*MPI_ERR_OTHER,adio/common/hint_fns.c:83,Unsaved,VALID,src/mpi/info/infoutil.c:61,Yes,
51,*MPI_ERR_OTHER,adio/common/ad_open.c:160,Unsaved,FP,adio/common/cb_config_list.c:80,Yes,
52,*MPI_ERR_OTHER,src/mpid/ch3/channels/common/src/detect/hca/mv2_hca_detect.c:588,Unsaved,FP,src/mpid/ch3/channels/common/src/affinity/hwloc_bind.c:2134,,
53,*MPI_ERR_OTHER,src/mpid/ch3/channels/common/src/detect/hca/mv2_hca_detect.c:595,Unsaved,FP,src/mpid/ch3/channels/common/src/affinity/hwloc_bind.c:2134,,
54,*MPI_ERR_COUNT MPI_ERR_INTERN MPI_ERR_OTHER,src/mpi/comm/intercomm_create.c:304,Unsaved,VALID,src/mpi/coll/helper_fns.c:413,No,
55,*MPI_ERR_OTHER,src/mpid/ch3/channels/mrail/src/rdma/ch3_init.c:731,Unsaved,VALID,src/mpid/ch3/channels/mrail/src/rdma/ch3_init.c:626,No,File is not mentioned in MPICH reports.
56,*MPI_ERR_OTHER,src/mpid/ch3/src/mpidi_pg.c:223,Unsaved,VALID,src/mpid/ch3/channels/mrail/src/rdma/ch3_init.c:626,No,Similar instance in another function.
57,*MPI_ERR_OTHER,src/mpid/ch3/channels/common/src/cm/cm.c:1677,Unsaved,VALID,src/mpid/ch3/channels/mrail/src/rdma/ch3_init.c:626,No,I was not able to find that file in any of the three phases of MPICH.
